PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
307268020,23040587,0,2023-03-19T19:33:00,"6400 Block Navarro St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): Welfare Check,1203,9,2,-79.9036276179635,40.4696565092489
307268907,23040650,4,2023-03-19T19:34:00,"5400 Block Penn Ave Pittsburgh, PA 15206",N,Friendship,5,AGG-ASSAULT,2702 Aggravated Assault.,807,9,2,-79.9364169042528,40.4646627230563
307309379,23040649,99,2023-03-19T20:28:00,"1600 Block NE Penn Ave Pittsburgh, PA 15219",N,Central Business District,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),201,,,-79.8675726934885,40.4424256597311
307323621,23040917,27,2023-03-20T11:26:00,"E Sycamore St & Wyoming St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1914,2,5,-80.0064627872302,40.4302784768808
307350786,23040696,6,2023-03-19T18:45:00,"900 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2304,1,1,-80.0019849735465,40.455044788164
307353569,23041101,0,2023-03-20T16:28:00,"900 Block Middle St Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): ,2304,1,1,-79.999560590641,40.455532901934
306781664,23036543,23,2023-03-11T21:44:00,"North Shore Dr & Tony Dorsett Dr Pittsburgh, PA 15212",Y,North Shore,1,PUBLIC DRUNKENESS,5505 Public Drunkenness,2205,1,6,-80.0098923176762,40.4461740313591
306876090,23037742,0,2023-03-14T08:05:00,"200 Block N Craig St Pittsburgh, PA 15213",N,North Oakland,4,99,9999 9999 - (Misc. Incident): ,507,8,3,-79.9506328125178,40.4499712801056
306905185,23037839,0,2023-03-14T14:24:00,"6th Ave & Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,100 Fugitive,201,6,6,-80.0002309433636,40.4423411977842
306934408,23037840,10,2023-03-14T14:41:00,"4600 Block Centre Ave Pittsburgh, PA 15213",Y,North Oakland,4,TERRORISTIC THREATS,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats. / 4304(a)(1) Endangering Welfare of Children. / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 3802(a)(1) DUI - General Impairment / 3361  Driving Vehicle at Safe Speed.",507,6,3,-79.9519916890064,40.4519096542795
306991221,23038288,6,2023-03-15T12:00:00,"100 Block N Craig St Pittsburgh, PA 15213",N,North Oakland,4,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",404,,,-79.8783824278341,40.4433210032603
306736596,23036693,9,2023-03-12T04:40:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Allegheny Center,2,TAMPER WITH/FAB PHYS EVIDENCE,"4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3334 Turning Movements and Required Signals.",201,6,6,-79.9960409452176,40.4350395659105
306768624,23037357,10,2023-03-13T15:34:00,Zone 2,Y,,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3126 Indecent Assault. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF",,,,,
307161315,23039455,11,2023-03-17T00:01:00,"2200 Block Palm Beach Ave Pittsburgh, PA 15216",N,Beechview,6,THEFT BY DECEPTION,3922 Theft by Deception. / 4120 Identity Theft,1920,4,5,-80.0262156398394,40.4038396517715
307186513,23039642,10,2023-03-17T20:55:00,"600 Block Finland St Pittsburgh, PA 15219",Y,Upper Hill,2,TERRORISTIC THREATS,"2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",506,6,3,-79.95906222292,40.4562720990355
307192962,23039795,10,2023-03-18T03:12:00,"20 Block S 10th St Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1702,3,3,-79.9889441947875,40.4299278704556
307193640,23039821,0,2023-03-18T05:20:00,"2700 Block Bergman St Pittsburgh, PA 15204",N,Sheraden,6,99,9999 9999 - (Misc. Incident): ,2018,2,5,-80.0513900249111,40.4529446039448
307195548,23039816,27,2023-03-18T04:25:00,"2600 Block Noblestown Rd Pittsburgh, PA ",N,Oakwood,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1785 Proof of Financial Responsibility Following Accident. / 1511 Carrying and Exhibiting Driver's License on Demand. / 3746 Immediate Notice of Accident to Police Department,2812,,,,
307213099,23039884,6,2023-03-18T10:24:00,"5200 Block Carnegie St Pittsburgh, PA 15201",N,Upper Lawrenceville,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1011,7,2,-79.953468750008,40.4798719541807
307218993,23039973,0,2023-03-18T13:45:00,"400 Block S Main St Pittsburgh, PA 15220",N,West End,6,99,9999 9999 - (Misc. Incident): ,2019,2,5,-80.0330943644795,40.4416856571646
307239533,23040309,27,2023-03-19T01:48:00,"Woods Run Ave & McClure  Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,2715,1,1,-80.0351212308145,40.4750989479779
307399942,23041426,6,2023-03-21T09:45:00,"1800 Block Morningside Ave Pittsburgh, PA 15206",N,Morningside,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1014,7,2,-79.9268250101656,40.4865065649153
307448411,23041630,24,2023-03-21T17:10:00,"Birmingham Brg & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,DISORDERLY CONDUCT,5507 Obstructing Highways and Passages. / 5503 Disorderly Conduct. / 9501 Bench Warrant / 602.04 Panhandling and Prohibited Conduct,1609,3,3,-79.9736110511516,40.4283706493447
307478638,23041799,18,2023-03-21T21:45:00,"Hornaday Rd & Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,2902,4,3,-79.9864908070422,40.3946297345909
307481849,23041339,4,2023-03-19T03:15:00,"900 Block sECOND Ave Pittsburgh, PA 15219",Y,Marshall-Shadeland,2,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 6106 Firearms not to be Carried without a License. / 3714 Careless Driving / 3732.1 Aggravated Assault by Vehicle / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer / 3353 Prohibitions in Specified Places. / 3334 Turning Movements and Required Signals.,103,6,6,-79.9931846812947,40.4350718208947
307527614,23042034,0,2023-03-21T20:38:00,"6800 Block Hamilton Ave Pittsburgh, PA 15208",N,Homewood West,5,99,"6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters",1207,9,2,-79.906656834848,40.4567041154448
307033618,23038676,18,2023-03-16T06:14:00,"800 Block Collins Ave Pittsburgh, PA 15206",Y,Highland Park,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance,1106,,,,
307065357,23038717,10,2023-03-15T09:00:00,"1200 Block Montezuma St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,HARRASSMENT,2709 Harassment (Non-Specific),1203,9,2,-79.9022083454784,40.4672418999621
307070538,23038823,14,2023-03-16T13:00:00,"4300 Block Murray Ave Pittsburgh, PA 15217",N,Greenfield,4,CRIM MISCHIEF,3304 Criminal Mischief.,1517,5,3,-79.9290614620162,40.4217786333251
307105629,23038889,24,2023-03-16T15:29:00,"6th Ave & Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,DISORDERLY CONDUCT,5503 Disorderly Conduct.,201,6,6,-79.9977344790324,40.4414644227404
307106956,23038923,6,2023-03-16T16:46:00,"Penn Ave & N Dallas Ave Pittsburgh, PA 15208",N,Point Breeze,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1404,8,3,-79.9081945578888,40.4514945750668
307122899,23039077,3,2023-03-16T21:21:00,"5th Ave & Moultrie St Pittsburgh, PA 15219",Y,Bluff,2,ROBBERY,"3701 Robbery. / 2701 Simple Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",103,6,3,-79.9744317839573,40.4380340440585
307128269,23039210,0,2023-03-17T03:38:00,"Lombard St & Diaz Way Pittsburgh, PA 15219",N,Central Business District,2,99,8106 Shots Fired,201,,,,
307128947,23039114,6,2023-03-16T23:00:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-79.9979394803376,40.4429453058783
306883729,23037743,5,2023-03-11T16:00:00,"4400 Block Centre Ave Pittsburgh, PA 15213",N,North Oakland,4,BURGLARY,3502 Burglary.,403,8,3,-79.9535826174592,40.4511859232577
306898980,23037740,0,2023-03-14T10:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,9994 PFA Service,1106,9,2,-79.9086166755192,40.4703056332591
306903630,23037858,6,2023-03-13T15:00:00,"300 Block Jacksonia St Pittsburgh, PA 15212",N,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2503,6,1,-80.0106525683297,40.4578246818918
306906431,23037885,0,2023-03-14T15:30:00,"3100 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9994 PFA Service,2715,1,1,-80.0314333216624,40.4733375823131
306906916,23037901,6,2023-02-28T09:00:00,"1900 Block Wylie Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",305,6,3,-79.982091239592,40.443816800353
306941890,23038006,15,2023-03-14T21:41:00,"Middle St & Thropp St Pittsburgh, PA 15212",Y,East Allegheny,1,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 3802(a)(1) DUI - General Impairment",2304,1,1,-79.9997824931788,40.4557814255691
306949419,23038098,27,2023-03-15T06:13:00,"Ohio River Blvd & Mckees Rocks Brg Pittsburgh, PA 15212",N,Brighton Heights,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2701,1,1,-80.0438525192105,40.4795625107137
307253501,23040401,10,2023-03-19T07:59:00,"1500 Block Amanda St Pittsburgh, PA 15210",Y,Central Business District,3,SIMPLE ASSAULT,2701 Simple Assault.,2902,4,3,-79.988436607001,40.4008838787087
307264839,23040545,0,2023-03-19T15:15:00,"6th Ave & Coffey Way Pittsburgh, PA 15222",Y,Central Business District,2,99,1785 Proof of Financial Responsibility Following Accident.,201,6,6,-79.9989223145337,40.4418971269944
307267992,23040633,6,2023-03-19T18:54:00,"500 Block Tripoli St Pittsburgh, PA 15212",N,East Allegheny,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2304,1,1,-80.0009402466981,40.456257946231
307274986,23040238,0,2023-03-18T23:10:00,"1600 Block W Carson St Pittsburgh, PA 15219",N,South Shore,3,99,425.26 Miscellaneous,1921,2,5,-80.0213528738134,40.4421395488467
307279762,23040792,99,2023-03-20T02:21:00,"2100 Block Mazette Pl Pittsburgh, PA 15205",N,Fairywood,6,MENTAL 201/302,9498 302 (Mental),2808,,,,
307286631,23040356,6,2023-03-19T04:39:00,"300 Block Brownsville Rd Pittsburgh, PA 15210",N,Knoxville,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2706 Terroristic Threats. / 670.02  (a) Disruptive activity prepetrataed/caused/permitted on property by owner(s)/tenant(s)/occupant(s)/invitee(s) of the property,3001,3,5,-79.9883627708382,40.4142974620648
307292981,23040861,99,2023-03-20T08:49:00,"20 Block Marne Way Pittsburgh, PA 15211",Y,Mount Washington,3,AIDED CASE,9497 Aided Case,1914,2,5,-80.012557822109,40.4238184400282
307530937,23031167,1,2023-03-01T17:47:00,"3100 Block Cordell Pl Pittsburgh, PA 15203",Y,Arlington Heights,3,CRIMINAL HOMICIDE,"2501 Criminal Homicide. / 3701 Robbery. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1604,3,3,-79.9634529767169,40.417717171258
307531542,23042013,14,2023-03-22T11:26:00,"7600 Block Frankstown Ave Pittsburgh, PA 15221",N,Homewood North,5,CRIM MISCHIEF,3304 Criminal Mischief.,1302,9,2,-79.8899923099226,40.4559504001139
307534095,23041916,0,2023-03-22T07:50:00,"1000 Block Lakewood St Pittsburgh, PA 15220",N,Elliott,6,99,9999 9999 - (Misc. Incident): ,2020,2,5,-80.039006981703,40.4451056822566
307541641,23042030,9,2023-03-22T11:55:00,"300 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,FORGERY,4101 Forgery.,2304,1,1,-80.0009078076061,40.4508935571012
307554225,23042206,10,2023-03-22T16:51:00,"3000 Block Bergman St Pittsburgh, PA 15204",N,Sheraden,6,HARRASSMENT,2709(a) Harassment.,2018,,,,
305588042,23030302,0,2023-03-04T07:00:00,"5700 Block Forward Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): SVP COMMUNITY NOTIFICATION,1413,5,3,-79.9247592303693,40.4290482251875
305625760,23030317,27,2023-02-28T08:11:00,"Ohio River Blvd & Mckees Rocks Brg Pittsburgh, PA 15212",N,Brighton Heights,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3714 Careless Driving / 3736 Reckless Driving,2701,1,1,-80.0438525192105,40.4795625107137
307148675,23039348,10,2023-03-17T11:14:00,"Grant St & 6th Ave Pittsburgh, PA 15219",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 5507(b)(1)(i) REFUSES TO MOVE - OBSTRUCT HIGHWAY,201,6,6,-79.9958855335618,40.4407645577097
307214255,23039889,11,2023-03-01T10:00:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,CREDIT CARDS,4106 Access Device Fraud,1115,9,2,-79.9220513942882,40.4616553241841
307251594,23040404,6,2023-03-18T15:27:00,"100 Block Banner Way Pittsburgh, PA 15201",Y,Central Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3503(b.1) Criminal Trespass - Simple Trespasser,901,7,2,-79.9636853013137,40.4718278212021
307258711,23040499,11,2023-03-19T13:06:00,"2900 Block Bedford Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,CREDIT CARDS,4106 Access Device Fraud,509,6,3,-79.9673519529593,40.4525626778715
306983327,23038211,99,2023-03-15T11:05:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),509,6,3,-79.9742739984904,40.4496143418734
306985878,23038229,0,2023-03-15T12:30:00,"1400 Block Crucible St Pittsburgh, PA 15220",N,Crafton Heights,6,99,9994 PFA Service,2814,2,5,-80.0497110358468,40.4485793521547
307009303,23038399,4,2023-03-15T16:50:00,"1200 Block Federal St N Pittsburgh, PA 15212",Y,Central North Side,1,AGG-ASSAULT,2702 Aggravated Assault. / 2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2206,1,1,-80.0064919678362,40.4560343725137
307023923,23038600,0,2023-03-16T00:22:00,"400 Block Fairywood St Pittsburgh, PA 15205",Y,Fairywood,6,99,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2808,2,5,-80.0795806105232,40.4472002205254
305667926,23030660,11,2023-02-28T20:35:00,"100 Block S 18th St Pittsburgh, PA 15203",N,South Side Flats,3,CREDIT CARDS,4106 Access Device Fraud,1702,3,3,-79.9808361201944,40.4281392487418
305652230,23030540,6,2023-02-28T15:45:00,"100 Block Forbes Ave Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-80.0036985115803,40.4409256646993
-3628000729,23030704,27,2023-02-28T23:20:00,"1100 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3206,4,5,-80.0153820316549,40.3915878301337
307308107,23040899,99,2023-03-20T09:50:00,"2400 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,AIDED CASE,9497 Aided Case,1609,,,,
307312698,23040862,99,2023-03-20T09:23:00,"400 Block Althea St Pittsburgh, PA 15210",Y,Beltzhoover,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1809,3,5,-80.0002753550601,40.4142869124723
307338583,23041066,0,2023-03-20T15:35:00,"500 Block Market St Pittsburgh, PA 15222",N,Central Business District,2,99,3503(b.1) Criminal Trespass - Simple Trespasser,201,6,6,-80.0020864858761,40.441411799753
307413165,23041228,6,2023-03-12T23:00:00,"Market St Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,6,-80.0044622339765,40.4379182373608
307434881,23041542,6,2023-03-21T13:00:00,"400 Block Hallock St Pittsburgh, PA 15211",N,Duquesne Heights,3,THEFT FROM AUTO,3934 Theft from Vehicle,1911,2,5,-80.0187167947721,40.4324529811458
307707199,23042885,99,2023-03-23T21:20:00,"100 Block Newburn Ave Pittsburgh, PA 15227",Y,Carrick,3,AIDED CASE,9497 Aided Case,2904,,,,
307709672,23042942,17,2023-03-23T23:23:00,Zone 1,N,,1,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
307791967,23043267,27,2023-03-24T15:28:00,"Penn Ave & 23rd St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,203,7,6,-79.9814734574718,40.4528316926279
307804045,23043545,10,2023-03-25T02:00:00,"1500 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1702,3,3,-79.9833100173741,40.4286928036566
307806413,23043445,5,2023-03-24T21:37:00,"3800 Block Haven St Pittsburgh, PA 15204",Y,Windgap,6,BURGLARY,3502 Burglary.,2807,2,5,-80.0798441746605,40.458942748702
305657647,23030585,0,2023-02-28T17:00:00,"5400 Block Kincaid St Pittsburgh, PA 15206",N,Garfield,5,99,9993 PFA Service with Weapons Supplement,1114,9,2,-79.9353858382071,40.4661383051318
305657906,23030498,0,2023-02-28T14:47:00,"2nd Ave & Glen Caladh St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): ,1515,5,3,-79.9438484908534,40.4091584824845
305663768,23030609,6,2023-02-28T18:29:00,"500 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1918,4,5,-80.0236345659771,40.3962210581181
305668469,23030634,99,2023-02-28T19:44:00,"5200 Block Centre Ave Pittsburgh, PA 15224",N,Shadyside,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),709,8,2,-79.9409226091318,40.4545232336817
305673663,23030708,10,2023-02-28T23:40:00,"3200 Block Rothpletz St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT,2701 Simple Assault.,2715,1,1,-80.0268172921287,40.4758137320057
305728903,23031002,0,2023-03-01T12:35:00,"800 Block Middle St Pittsburgh, PA 15212",Y,East Allegheny,1,99,9999 9999 - (Misc. Incident): Suspicious Activity,2304,1,1,-79.999390919295,40.4546053302536
305729428,23031018,0,2023-03-01T13:55:00,"2600 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9994 PFA Service,2715,6,1,-80.0251806598739,40.4680938294973
305733843,23030932,99,2023-03-01T11:50:00,"300 Block Wood St Pittsburgh, PA 15222",N,Central Business District,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),201,,,-80.0581533364063,40.5044573772531
307264467,23040561,10,2023-03-19T01:30:00,"1200 Block E Carson Ter Pittsburgh, PA 15203",Y,South Side Flats,3,HARRASSMENT,2709(a) Harassment.,1702,3,3,-79.9862131966527,40.4285828598749
307265113,23040563,0,2023-03-19T16:03:00,"1700 Block Brighton Pl Pittsburgh, PA 15212",N,California-Kirkbride,1,99,9998 Overdose Other,2507,6,1,-80.0158935817082,40.458529066572
307266089,23040612,29,2023-03-19T13:46:00,"100 Block Hornaday Rd Pittsburgh, PA 15210",N,Carrick,3,RUNAWAYS - JUVENILE,029 Missing Juvenile,2902,4,3,-79.9857424839442,40.3945195610549
307266560,23040310,0,2023-03-19T01:50:00,"300 Block North Shore Dr Pittsburgh, PA 15212",Y,North Shore,1,99,601.16 Public Urination And Defecation,2205,1,1,-80.0096363485458,40.454910356151
307268031,23040583,26,2023-03-19T16:59:00,"200 Block Merrimac St Pittsburgh, PA 15211",N,Mount Washington,3,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,1903,2,5,-80.0136312932039,40.4328049112356
307268488,23040657,6,2023-03-19T19:25:00,"1300 Block Breining St Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1918,4,5,-80.0107020458207,40.3912061535699
307313857,23040512,6,2023-03-19T13:40:00,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",709,8,2,-79.9364516472806,40.4565706687443
307315038,23039413,26,2023-03-17T14:00:00,"7500 Block Penn Ave Pittsburgh, PA 15221",N,Point Breeze,4,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,1406,9,3,-79.896576789767,40.447294296653
307040953,23038696,6,2023-03-16T07:40:00,"N Dithridge St & Centre Ave Pittsburgh, PA 15213",N,North Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle,507,8,3,-79.95335158074,40.4514964871832
307074850,23038837,0,2023-03-16T12:11:00,"600 Block Minnesota St Pittsburgh, PA 15207",N,Greenfield,4,99,9993 PFA Service with Weapons Supplement,1517,5,3,-79.9388814057422,40.425323482037
307100273,23038887,27,2023-03-16T15:22:00,"300 Block Main St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,902,7,2,-79.9579476679689,40.4673830136992
307102133,23038885,27,2023-03-16T15:04:00,"E Carson St & Smithfield St Brg Pittsburgh, PA 15219",N,South Shore,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1921,2,5,-80.0039907160465,40.4321467195584
307111701,23035337,17,2023-03-08T14:00:00,Zone 4,N,,4,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
307115751,23038262,4,2023-03-14T18:00:00,"600 Block Lillian St Pittsburgh, PA 15210",N,Allentown,3,AGG-ASSAULT,2702 Aggravated Assault.,1803,3,5,-79.9972664743844,40.418675634183
-3574001540,23039159,99,2023-03-17T01:55:00,"2400 Block Allequippa St Pittsburgh, PA 15213",N,Terrace Village,2,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,510,,,,
307128091,23039202,0,2023-03-17T03:05:00,"1000 Block Moyer St Pittsburgh, PA 15204",N,Sheraden,6,99,9994 PFA Service,2022,2,5,-80.0642769158405,40.4582720498372
307129052,23039212,4,2023-03-17T03:30:00,"Route 65 Rte N & Marshall Ave Ramp Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,AGG-ASSAULT,2702 Aggravated Assault. / 2701 Simple Assault. / 2705 Recklessly Endangering Another Person. / 2706 Terroristic Threats.,2507,,,,
305721518,23030985,0,2023-03-01T13:00:00,"200 Block 8th Ave Sharpsburg, PA 15215",N,Outside City,OSC,99,9994 PFA Service,5599,,,-79.934304418187,40.4952881288622
305723520,23030929,0,2023-03-01T10:00:00,"200 Block Mountain Ave Pittsburgh, PA 15210",N,Arlington,3,99,9999 9999 - (Misc. Incident): ,1603,3,3,-79.978352942784,40.4161454015003
305761325,23031318,0,2023-03-01T23:49:00,"Baum Blvd & Melwood Ave Pittsburgh, PA 15213",Y,North Oakland,4,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 1786 Required Financial Responsibility. / 3112 Traffic-Control Signals. / 3736 Reckless Driving,507,6,3,-79.9519446914318,40.4540384932332
305830746,23031421,17,2023-02-28T21:03:00,Zone 1,N,,1,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
307440737,23041573,6,2023-03-21T14:20:00,"300 Block 6th Ave Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-79.9992483643313,40.4418819209077
307444038,23041610,27,2023-03-20T16:05:00,"2700 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9773050100909,40.456578514528
307444494,23041595,6,2023-03-21T15:03:00,"1100 Block Lincoln Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1203,9,2,-79.9000465962757,40.4642436265259
307454992,23041619,99,2023-03-21T15:43:00,"900 Block Chislett St Pittsburgh, PA 15206",N,Morningside,5,AIDED CASE,9497 Aided Case,1014,7,2,-79.9302655525657,40.4746773693571
307455641,23041670,14,2023-03-21T17:30:00,"3200 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,CRIM MISCHIEF,3304 Criminal Mischief.,2715,1,1,-80.0311081163317,40.475789182261
307457683,23041650,6,2023-03-21T17:43:00,"1800 Block West Liberty Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1917,4,5,-80.018505660184,40.4064018518649
307460212,23041771,0,2023-03-21T20:30:00,"10 Block Cedricton St Pittsburgh, PA 15210",N,Carrick,3,99,9994 PFA Service,2901,4,3,-79.9912512183872,40.4051980625356
